Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Strategy,Thematic,Children,Party,Abstract,War,Family,Customizable
2012.0,2,2,60,12,14592,7.64,2.35,22524.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,2,4,120,12,9935,7.77,3.85,12793.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.0,3,4,120,13,14297,7.68,3.19,14782.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,1,100,25,10,17370,7.61,1.82,27392.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2018.0,1,4,30,8,14352,7.64,1.89,21684.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015.0,2,4,180,14,6665,7.89,4.2,9928.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,1,2,60,13,20805,7.65,3.17,32244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005.0,2,6,120,10,11039,7.69,3.02,11902.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,5,10,30,13,27134,7.58,1.77,38202.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017.0,1,4,60,14,3191,8.41,2.91,7541.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,1,4,120,8,11559,7.72,3.04,19263.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,1,5,60,10,7275,7.89,2.17,14285.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011.0,3,6,240,14,28650,7.6,3.72,38623.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,1,4,90,13,22125,7.56,2.66,28039.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,2,6,200,14,2556,8.8,3.48,5256.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.0,2,2,30,12,37225,7.51,1.49,54358.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009.0,2,5,90,12,11496,7.65,3.12,10985.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,2,8,60,8,25720,7.56,2.27,33786.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011.0,1,4,180,13,9770,7.71,3.9,12289.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,1,4,90,14,14251,7.8,2.11,23966.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,2,2,60,12,7987,7.78,2.69,10486.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008.0,3,5,120,12,27396,7.54,2.57,33832.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,2,4,90,12,23729,7.55,2.61,35093.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,1,4,45,14,26063,7.53,1.93,40258.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2014.0,3,5,180,12,7357,7.86,3.17,11630.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,1,4,90,8,21584,7.52,2.78,24714.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,1,6,120,18,8550,7.83,3.25,16050.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,2,4,45,8,7039,7.83,2.05,12321.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2013.0,1,5,200,14,11146,7.64,3.54,12085.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,1,5,180,16,7042,7.89,2.72,15633.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,2,4,120,13,7245,7.81,2.82,15697.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007.0,2,3,60,8,11646,7.64,1.98,17300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011.0,2,4,90,12,20255,7.53,3.07,26348.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999.0,2,2,480,14,4539,8.06,3.84,8630.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2006.0,2,2,180,12,5391,7.94,3.25,8073.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1993.0,2,2,20,13,32442,7.52,3.22,35625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016.0,2,8,60,14,16007,7.57,2.15,21870.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2017.0,2,4,75,12,8826,7.7,2.86,11403.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,2,99,30,11,13985,7.57,1.34,27538.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011.0,2,2,180,14,4380,8.04,2.77,7464.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018.0,3,7,20,8,11775,7.6,1.05,19170.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017.0,2,4,60,10,12131,7.61,1.93,19173.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015.0,2,2,20,12,6075,7.87,1.9,14005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,2,4,30,10,58709,7.45,1.8,82849.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
